drugbank_id	molport_id
DB00360	MolPort-003-959-732
DB00360	MolPort-004-964-609
DB00360	MolPort-006-168-558
DB00360	MolPort-044-181-673
DB00360	MolPort-046-864-705
DB00361	MolPort-003-986-338
DB00361	MolPort-006-823-869
DB00361	MolPort-035-395-073
DB00361	MolPort-035-395-882
DB00361	MolPort-035-813-637
DB00361	MolPort-039-052-359
DB00361	MolPort-046-162-803
DB00361	MolPort-046-782-703
DB00362	MolPort-006-167-527
DB00362	MolPort-044-193-770
DB00363	MolPort-001-728-041
DB00363	MolPort-003-845-995
DB00363	MolPort-046-683-723
DB00364	MolPort-003-926-090
DB00364	MolPort-003-926-695
DB00364	MolPort-003-930-167
DB00364	MolPort-023-220-814
DB00364	MolPort-028-600-272
DB00364	MolPort-046-197-174
DB00364	MolPort-046-418-568
DB00366	MolPort-003-666-172
DB00366	MolPort-005-935-542
DB00366	MolPort-006-393-901
DB00367	MolPort-002-510-453
DB00367	MolPort-003-666-244
DB00367	MolPort-005-933-833
DB00367	MolPort-027-641-194
DB00367	MolPort-046-426-723
DB00368	MolPort-003-666-243
DB00368	MolPort-003-913-350
DB00368	MolPort-003-932-051
DB00368	MolPort-003-938-844
DB00368	MolPort-004-963-848
DB00368	MolPort-029-943-999
DB00368	MolPort-044-193-549
DB00368	MolPort-044-544-809
DB00370	MolPort-002-507-957
DB00370	MolPort-003-849-233
DB00370	MolPort-003-849-234
DB00372	MolPort-006-109-341
DB00373	MolPort-006-125-123
DB00373	MolPort-020-065-631
DB00373	MolPort-046-684-072
DB00373	MolPort-046-842-946
DB00374	MolPort-027-720-928
DB00374	MolPort-046-417-145
DB00376	MolPort-003-666-299
DB00377	MolPort-005-932-622
DB00377	MolPort-005-941-486
DB00377	MolPort-005-978-164
DB00377	MolPort-016-638-380
DB00377	MolPort-019-990-881
DB00377	MolPort-023-220-281
DB00377	MolPort-046-418-514
DB00377	MolPort-046-690-756
DB00378	MolPort-005-940-383
DB00378	MolPort-005-940-416
DB00378	MolPort-046-854-261
DB00379	MolPort-001-790-944
DB00379	MolPort-003-666-510
DB00379	MolPort-035-774-791
DB00380	MolPort-005-934-876
DB00380	MolPort-006-167-534
DB00380	MolPort-023-276-958
DB00380	MolPort-046-683-444
DB00381	MolPort-006-392-244
DB00382	MolPort-000-881-472
DB00382	MolPort-001-683-425
DB00382	MolPort-001-683-467
DB00382	MolPort-001-761-290
DB00382	MolPort-002-322-991
DB00384	MolPort-003-850-625
DB00385	MolPort-020-005-895
DB00387	MolPort-003-666-269
DB00388	MolPort-000-718-949
DB00388	MolPort-001-783-440
DB00388	MolPort-001-792-191
DB00388	MolPort-003-666-260
DB00388	MolPort-004-285-491
DB00388	MolPort-023-220-534
DB00388	MolPort-023-331-554
DB00389	MolPort-003-666-636
DB00390	MolPort-000-739-272
DB00390	MolPort-000-777-267
DB00390	MolPort-002-507-099
DB00390	MolPort-002-530-211
DB00390	MolPort-002-536-760
DB00390	MolPort-003-983-426
DB00390	MolPort-006-167-536
DB00390	MolPort-023-277-210
DB00390	MolPort-030-042-300
DB00390	MolPort-046-426-827
DB00391	MolPort-002-070-475
DB00391	MolPort-003-930-513
DB00393	MolPort-001-840-190
DB00394	MolPort-002-530-411
DB00394	MolPort-003-666-128
DB00394	MolPort-003-983-412
DB00394	MolPort-035-757-818
DB00394	MolPort-035-758-341
DB00396	MolPort-001-740-063
DB00396	MolPort-001-785-926
DB00396	MolPort-001-794-643
DB00396	MolPort-003-849-979
DB00396	MolPort-044-652-024
DB00396	MolPort-044-728-843
DB00398	MolPort-003-850-270
DB00398	MolPort-006-705-989
DB00399	MolPort-023-332-212
DB00399	MolPort-044-728-816
DB00400	MolPort-001-739-410
DB00400	MolPort-001-934-124
DB00400	MolPort-003-983-438
DB00401	MolPort-003-666-664
DB00403	MolPort-042-652-784
DB00403	MolPort-046-162-767
DB00403	MolPort-046-426-462
DB00405	MolPort-003-666-520
DB00405	MolPort-005-935-546
DB00405	MolPort-023-220-382
DB00406	MolPort-001-783-921
DB00406	MolPort-042-675-769
DB00408	MolPort-002-885-838
DB00408	MolPort-003-666-776
DB00409	MolPort-003-983-422
DB00410	MolPort-003-666-882
DB00410	MolPort-009-194-219
DB00410	MolPort-046-423-252
DB00410	MolPort-046-692-280
DB00411	MolPort-003-666-136
DB00412	MolPort-002-508-212
DB00412	MolPort-003-850-205
