drugbank_id	lincs_id
DB00758	LSM-5415
DB00760	LSM-5208
DB00760	LSM-5822
DB00762	LSM-2167
DB00763	LSM-5646
DB00766	LSM-5434
DB00770	LSM-3161
DB00770	LSM-42979
DB00770	LSM-45530
DB00771	LSM-6447
DB00773	LSM-36939
DB00773	LSM-45872
DB00773	LSM-5572
DB00773	LSM-6348
DB00774	LSM-5497
DB00775	LSM-45871
DB00776	LSM-5219
DB00778	LSM-44988
DB00778	LSM-45095
DB00778	LSM-45999
DB00778	LSM-5319
DB00779	LSM-5590
DB00780	LSM-5928
DB00782	LSM-5959
DB00783	LSM-1367
DB00783	LSM-2421
DB00783	LSM-6474
DB00784	LSM-4085
DB00786	LSM-45636
DB00787	LSM-5459
DB00788	LSM-1880
DB00788	LSM-5472
DB00788	LSM-5689
DB00789	LSM-5524
DB00790	LSM-4080
DB00790	LSM-5927
DB00792	LSM-3271
DB00793	LSM-5310
DB00794	LSM-2700
DB00795	LSM-5278
DB00796	LSM-1716
DB00797	LSM-3020
DB00798	LSM-6037
DB00798	LSM-6491
DB00799	LSM-45376
DB00800	LSM-1609
DB00804	LSM-3534
DB00805	LSM-2037
DB00806	LSM-3285
DB00807	LSM-3780
DB00808	LSM-1936
DB00809	LSM-1814
DB00810	LSM-1235
DB00810	LSM-1495
DB00810	LSM-6403
DB00811	LSM-45572
DB00811	LSM-5189
DB00811	LSM-5701
DB00811	LSM-6426
DB00812	LSM-2219
DB00816	LSM-4318
DB00818	LSM-3847
DB00819	LSM-5543
DB00820	LSM-4109
DB00821	LSM-1350
DB00822	LSM-5467
DB00823	LSM-5321
DB00824	LSM-45973
DB00826	LSM-43295
DB00827	LSM-6552
DB00828	LSM-45458
DB00829	LSM-2359
DB00831	LSM-4010
DB00832	LSM-1359
DB00833	LSM-5368
DB00833	LSM-6481
DB00834	LSM-1569
DB00834	LSM-2822
DB00834	LSM-5552
DB00835	LSM-1736
DB00835	LSM-5386
DB00836	LSM-3365
DB00839	LSM-2699
DB00841	LSM-1807
DB00843	LSM-1598
DB00844	LSM-1908
DB00844	LSM-3477
DB00844	LSM-4983
DB00845	LSM-5669
DB00846	LSM-1605
DB00846	LSM-1993
DB00846	LSM-5687
DB00848	LSM-1579
DB00848	LSM-6655
DB00850	LSM-2224
DB00851	LSM-5487
DB00852	LSM-1633
DB00852	LSM-1961
DB00852	LSM-3885
DB00853	LSM-4590
DB00854	LSM-36603
DB00855	LSM-5677
DB00857	LSM-43227
DB00859	LSM-6626
DB00860	LSM-1425
DB00860	LSM-24954
DB00860	LSM-5778
DB00861	LSM-2490
DB00862	LSM-2292
DB00863	LSM-2298
DB00863	LSM-42885
DB00863	LSM-42886
DB00864	LSM-43009
DB00864	LSM-43010
DB00864	LSM-43224
DB00864	LSM-43302
DB00864	LSM-45484
DB00866	LSM-1238
DB00867	LSM-1664
DB00867	LSM-3138
DB00868	LSM-4052
DB00869	LSM-45672
DB00869	LSM-5597
DB00870	LSM-4406
DB00871	LSM-5065
DB00872	LSM-45291
DB00874	LSM-1896
DB00875	LSM-43011
DB00876	LSM-43101
DB00877	LSM-1052
DB00877	LSM-42782
DB00877	LSM-42783
DB00877	LSM-43134
DB00877	LSM-43269
DB00877	LSM-44623
DB00878	LSM-5633
DB00879	LSM-45730
DB00880	LSM-5942
DB00881	LSM-3620
DB00882	LSM-2072
DB00882	LSM-42849
DB00882	LSM-42850
DB00883	LSM-46167
DB00883	LSM-5454
DB00885	LSM-45285
DB00887	LSM-2848
DB00889	LSM-45509
DB00889	LSM-5231
DB00889	LSM-5283
DB00890	LSM-4142
DB00890	LSM-43043
DB00891	LSM-5531
DB00892	LSM-2069
DB00896	LSM-2685
DB00896	LSM-5414
DB00900	LSM-6017
DB00903	LSM-3420
DB00904	LSM-1375
DB00905	LSM-43159
DB00905	LSM-45826
DB00906	LSM-5700
DB00908	LSM-3325
DB00908	LSM-46038
DB00908	LSM-5109
DB00908	LSM-6020
DB00908	LSM-6452
DB00909	LSM-3062
DB00910	LSM-45519
DB00911	LSM-5948
DB00912	LSM-3863
DB00914	LSM-2233
DB00915	LSM-3571
DB00915	LSM-44958
DB00916	LSM-5628
DB00917	LSM-42919
DB00918	LSM-25659
DB00919	LSM-5298
DB00920	LSM-2637
DB00922	LSM-45954
DB00923	LSM-2838
DB00923	LSM-5241
DB00924	LSM-5537
DB00925	LSM-1729
DB00926	LSM-5491
DB00927	LSM-5201
DB00928	LSM-45701
DB00928	LSM-4967
DB00928	LSM-5218
DB00929	LSM-5066
DB00933	LSM-1329
DB00934	LSM-2043
DB00934	LSM-44956
DB00935	LSM-2353
DB00936	LSM-4763
DB00937	LSM-5038
DB00938	LSM-1240
DB00939	LSM-3108
DB00940	LSM-2202
DB00943	LSM-5915
DB00944	LSM-5622
DB00945	LSM-5288
DB00946	LSM-45746
DB00947	LSM-1895
DB00947	LSM-45338
DB00947	LSM-45768
DB00947	LSM-4986
DB00947	LSM-6504
DB00949	LSM-4232
DB00950	LSM-1770
DB00951	LSM-46042
DB00951	LSM-6682
DB00953	LSM-3691
DB00954	LSM-5636
DB00954	LSM-6519
DB00957	LSM-44968
DB00957	LSM-5384
DB00958	LSM-44959
DB00959	LSM-5485
DB00959	LSM-5889
DB00959	LSM-6457
DB00960	LSM-1953
DB00960	LSM-24941
DB00961	LSM-4306
DB00962	LSM-5971
DB00963	LSM-5585
DB00966	LSM-3657
DB00967	LSM-5887
DB00968	LSM-5596
DB00969	LSM-5576
DB00970	LSM-36885
DB00970	LSM-42703
DB00970	LSM-5783
DB00972	LSM-5127
DB00974	LSM-45734
DB00975	LSM-3927
DB00977	LSM-1251
DB00977	LSM-36887
DB00977	LSM-5593
DB00977	LSM-5945
DB00978	LSM-5145
DB00979	LSM-1800
DB00980	LSM-20965
DB00981	LSM-2558
DB00981	LSM-5037
DB00982	LSM-2135
DB00982	LSM-42854
DB00982	LSM-42855
DB00982	LSM-42856
DB00983	LSM-4251
DB00985	LSM-5581
DB00985	LSM-6066
DB00986	LSM-5163
DB00987	LSM-45355
DB00987	LSM-5470
DB00988	LSM-4630
DB00989	LSM-5280
DB00990	LSM-1773
DB00990	LSM-5474
DB00990	LSM-5984
DB00991	LSM-2553
DB00993	LSM-42936
DB00995	LSM-43205
DB00996	LSM-5716
DB00997	LSM-1622
DB00997	LSM-1799
DB00997	LSM-2078
DB00997	LSM-36423
DB00997	LSM-4062
DB00997	LSM-45684
DB00999	LSM-5308
DB01000	LSM-3987
DB01001	LSM-5178
DB01001	LSM-5480
DB01002	LSM-4301
DB01003	LSM-5370
DB01004	LSM-5382
DB01005	LSM-45988
DB01006	LSM-3980
DB01007	LSM-5028
DB01008	LSM-5388
DB01009	LSM-1955
DB01009	LSM-5547
DB01010	LSM-5867
DB01011	LSM-3035
DB01012	LSM-5815
DB01013	LSM-1414
DB01013	LSM-1697
DB01013	LSM-5281
DB01013	LSM-5904
DB01014	LSM-5532
DB01015	LSM-5422
DB01018	LSM-2716
DB01019	LSM-5196
DB01020	LSM-5883
DB01021	LSM-4383
DB01022	LSM-43150
DB01023	LSM-1447
DB01024	LSM-2681
DB01024	LSM-42933
DB01025	LSM-5432
DB01026	LSM-5148
DB01026	LSM-5430
DB01026	LSM-6434
DB01029	LSM-3338
DB01030	LSM-4296
DB01030	LSM-5662
DB01033	LSM-5963
DB01034	LSM-43210
DB01035	LSM-3681
DB01037	LSM-45964
DB01037	LSM-5920
DB01041	LSM-1914
DB01042	LSM-36838
DB01043	LSM-5154
DB01043	LSM-5966
DB01044	LSM-5139
DB01045	LSM-43162
DB01045	LSM-46033
DB01045	LSM-5207
DB01047	LSM-1337
DB01047	LSM-19002
DB01047	LSM-5579
DB01050	LSM-1354
DB01050	LSM-2323
DB01051	LSM-5910
DB01053	LSM-3229
DB01053	LSM-5595
DB01054	LSM-1246
DB01056	LSM-1909
DB01058	LSM-1387
DB01059	LSM-5286
DB01060	LSM-5654
DB01060	LSM-6540
DB01061	LSM-15179
DB01061	LSM-5812
DB01062	LSM-5111
DB01064	LSM-4311
DB01064	LSM-5393
DB01064	LSM-5503
DB01067	LSM-2251
DB01068	LSM-45776
DB01069	LSM-4440
DB01071	LSM-45474
DB01073	LSM-4828
DB01073	LSM-5023
DB01073	LSM-5747
DB01074	LSM-4353
DB01075	LSM-5581
DB01076	LSM-5164
DB01076	LSM-5771
DB01077	LSM-5508
DB01079	LSM-5375
DB01080	LSM-4959
DB01081	LSM-5534
DB01082	LSM-43341
DB01082	LSM-43343
DB01083	LSM-5724
DB01084	LSM-5331
DB01085	LSM-15522
DB01085	LSM-5909
DB01086	LSM-5830
DB01087	LSM-1649
DB01088	LSM-43147
DB01088	LSM-43345
DB01090	LSM-5561
DB01091	LSM-5956
DB01092	LSM-1580
