drugbank_id	metabolights_id
DB01394	MTBLC51074
DB01397	MTBLC16914
DB01397	MTBLC30762
DB01401	MTBLC15354
DB01401	MTBLC16914
DB01401	MTBLC30762
DB01412	MTBLC28946
DB01426	MTBLC110180
DB01426	MTBLC110205
DB01426	MTBLC28462
DB01426	MTBLC58567
DB01426	MTBLC5979
DB01426	MTBLC95132
DB01445	MTBLC3210
DB01451	MTBLC133930
DB01452	MTBLC27808
DB01466	MTBLC4902
DB01477	MTBLC15858
DB01477	MTBLC47266
DB01481	MTBLC87331
DB01488	MTBLC28969
DB01494	MTBLC17750
DB01494	MTBLC28142
DB01494	MTBLC41139
DB01495	MTBLC28142
DB01515	MTBLC41001
DB01524	MTBLC2710
DB01525	MTBLC32072
DB01525	MTBLC4743
DB01530	MTBLC18329
DB01530	MTBLC36713
DB01531	MTBLC135119
DB01536	MTBLC16422
DB01538	MTBLC135453
DB01548	MTBLC4650
DB01551	MTBLC135276
DB01560	MTBLC4110
DB01561	MTBLC15994
DB01561	MTBLC16985
DB01561	MTBLC22542
DB01563	MTBLC28142
DB01565	MTBLC4575
DB01574	MTBLC15377
DB01574	MTBLC16234
DB01574	MTBLC29374
DB01574	MTBLC29375
DB01574	MTBLC29412
DB01574	MTBLC33806
DB01574	MTBLC33811
DB01574	MTBLC33813
DB01574	MTBLC41981
DB01575	MTBLC15377
DB01575	MTBLC16234
DB01575	MTBLC29374
DB01575	MTBLC29375
DB01575	MTBLC29412
DB01575	MTBLC33806
DB01575	MTBLC33811
DB01575	MTBLC33813
DB01575	MTBLC41981
DB01583	MTBLC18258
DB01583	MTBLC18332
DB01583	MTBLC29101
DB01583	MTBLC533015
DB01583	MTBLC58448
DB01583	MTBLC60302
DB01583	MTBLC60308
DB01586	MTBLC16755
DB01586	MTBLC36234
DB01586	MTBLC43419
DB01586	MTBLC78602
DB01586	MTBLC78604
DB01586	MTBLC87730
DB01586	MTBLC88102
DB01586	MTBLC9907
DB01592	MTBLC18248
DB01592	MTBLC52623
DB01595	MTBLC7581
DB01597	MTBLC3697
DB01597	MTBLC59512
DB01627	MTBLC6472
DB01631	MTBLC44499
DB01632	MTBLC17111
DB01632	MTBLC58017
DB01638	MTBLC134311
DB01638	MTBLC16813
DB01638	MTBLC16899
DB01638	MTBLC17459
DB01638	MTBLC17924
DB01638	MTBLC18202
DB01638	MTBLC28789
DB01638	MTBLC38030
DB01638	MTBLC87978
DB01643	MTBLC17013
DB01643	MTBLC46960
DB01643	MTBLC63528
DB01645	MTBLC28088
DB01645	MTBLC74224
DB01650	MTBLC11594
DB01650	MTBLC12875
DB01650	MTBLC18125
DB01650	MTBLC18176
DB01650	MTBLC28873
DB01650	MTBLC47921
DB01652	MTBLC15500
DB01652	MTBLC57356
DB01655	MTBLC16863
DB01655	MTBLC48928
DB01655	MTBLC58759
DB01661	MTBLC18263
DB01661	MTBLC58424
DB01661	MTBLC73183
DB01661	MTBLC73200
DB01669	MTBLC9997
DB01670	MTBLC40116
DB01671	MTBLC15377
DB01671	MTBLC16234
DB01671	MTBLC29374
DB01671	MTBLC29375
DB01671	MTBLC29412
DB01671	MTBLC33806
DB01671	MTBLC33811
DB01671	MTBLC33813
DB01671	MTBLC41981
DB01672	MTBLC18026
DB01672	MTBLC36654
DB01675	MTBLC27754
DB01675	MTBLC62500
DB01677	MTBLC18012
DB01677	MTBLC18300
DB01677	MTBLC29806
DB01677	MTBLC30780
DB01677	MTBLC37154
DB01677	MTBLC37156
DB01686	MTBLC17929
DB01686	MTBLC58326
DB01687	MTBLC17057
DB01687	MTBLC17306
DB01687	MTBLC17716
DB01687	MTBLC18147
DB01687	MTBLC18167
DB01687	MTBLC25164
DB01687	MTBLC28085
DB01687	MTBLC28676
DB01687	MTBLC36217
DB01687	MTBLC36218
DB01687	MTBLC36219
DB01687	MTBLC36224
DB01687	MTBLC41034
DB01687	MTBLC64351
DB01688	MTBLC17847
DB01690	MTBLC27775
DB01690	MTBLC58529
DB01692	MTBLC18320
DB01692	MTBLC42106
DB01692	MTBLC42170
DB01694	MTBLC15671
DB01694	MTBLC15672
DB01694	MTBLC15673
DB01694	MTBLC15674
DB01694	MTBLC30924
DB01694	MTBLC30927
DB01694	MTBLC30928
DB01694	MTBLC30929
DB01694	MTBLC35398
DB01694	MTBLC35399
DB01694	MTBLC35400
DB01694	MTBLC48929
DB01694	MTBLC48930
DB01694	MTBLC48931
DB01697	MTBLC27931
DB01697	MTBLC3528
DB01697	MTBLC41753
DB01698	MTBLC28527
DB01700	MTBLC18406
DB01700	MTBLC58475
DB01702	MTBLC17612
DB01702	MTBLC41941
DB01703	MTBLC18248
DB01703	MTBLC52623
DB01707	MTBLC74966
DB01708	MTBLC28689
DB01709	MTBLC17835
DB01709	MTBLC24344
DB01709	MTBLC58289
DB01709	MTBLC88350
DB01713	MTBLC16082
DB01713	MTBLC57632
DB01714	MTBLC17604
DB01714	MTBLC58202
DB01715	MTBLC17830
DB01715	MTBLC2247
DB01715	MTBLC42085
DB01715	MTBLC58500
DB01717	MTBLC28898
DB01717	MTBLC62041
DB01726	MTBLC18112
DB01727	MTBLC151
DB01727	MTBLC15562
DB01727	MTBLC15563
DB01727	MTBLC160
DB01727	MTBLC16087
DB01727	MTBLC30887
DB01727	MTBLC30889
DB01727	MTBLC30896
DB01727	MTBLC30897
DB01727	MTBLC36453
DB01727	MTBLC36454
DB01727	MTBLC43291
DB01728	MTBLC73005
DB01728	MTBLC73127
DB01729	MTBLC16595
DB01729	MTBLC18228
DB01729	MTBLC203600
DB01729	MTBLC58414
DB01738	MTBLC17553
DB01738	MTBLC58190
DB01739	MTBLC17191
DB01739	MTBLC27730
DB01739	MTBLC32604
DB01739	MTBLC32605
DB01739	MTBLC32608
DB01739	MTBLC32609
DB01739	MTBLC43433
DB01739	MTBLC58045
DB01739	MTBLC85338
DB01744	MTBLC15396
DB01744	MTBLC15397
DB01744	MTBLC36773
DB01746	MTBLC143079
DB01746	MTBLC15603
DB01746	MTBLC25017
DB01746	MTBLC28225
DB01746	MTBLC32619
DB01746	MTBLC32620
DB01746	MTBLC32623
DB01746	MTBLC32624
DB01746	MTBLC32627
DB01746	MTBLC32628
DB01746	MTBLC57427
DB01747	MTBLC29034
DB01747	MTBLC83101
DB01751	MTBLC131194
DB01752	MTBLC16680
DB01752	MTBLC57856
DB01752	MTBLC67009
DB01756	MTBLC49003
DB01756	MTBLC58766
DB01758	MTBLC27847
DB01758	MTBLC59898
DB01759	MTBLC43572
DB01762	MTBLC13705
DB01762	MTBLC15344
DB01774	MTBLC15751
DB01774	MTBLC28845
DB01774	MTBLC57498
DB01775	MTBLC16016
DB01776	MTBLC17231
DB01779	MTBLC17270
