drugbank_id	lipidmaps_id
DB11457	LMPK12060007
DB11460	LMPR0106010002
DB11475	LMPK04000004
DB11622	LMST04010106
DB11622	LMST04010375
DB11674	LMPK12080003
DB11753	LMPK05000005
DB11789	LMST04010024
DB11789	LMST04010025
DB11789	LMST04010026
DB11789	LMST04010027
DB11789	LMST04010028
DB11789	LMST04010029
DB11789	LMST04010030
DB11789	LMST04010031
DB11858	LMFA03020006
DB11858	LMFA03020021
DB11859	LMST02030130
DB11859	LMST02030155
DB11859	LMST02030156
DB11859	LMST02030157
DB11859	LMST02030173
DB11859	LMST02030175
DB11859	LMST02030185
DB11924	LMSP01020001
DB11924	LMSP01080055
DB12007	LMPK12050000
DB12039	LMPK12020001
DB12039	LMPK12020003
DB12052	LMPK12112009
DB12112	LMPR01090012
DB12116	LMPK12020120
DB12116	LMPK12030005
DB12290	LMPK12050005
DB12308	LMST02030130
DB12308	LMST02030155
DB12308	LMST02030156
DB12308	LMST02030157
DB12308	LMST02030173
DB12308	LMST02030175
DB12308	LMST02030185
DB12452	LMFA05000130
DB12474	LMST02030127
DB12480	LMPR0106140004
DB12528	LMGL03012438
DB12622	LMPR0106130001
DB12665	LMPK12112041
DB12665	LMPK12112086
DB12665	LMPK12112170
DB12961	LMFA03020001
DB12961	LMFA03020013
DB12961	LMFA03020014
DB12961	LMFA03020015
DB12961	LMFA03020072
DB12961	LMFA03060052
DB12961	LMFA03060101
DB12972	LMST02030130
DB12972	LMST02030155
DB12972	LMST02030156
DB12972	LMST02030157
DB12972	LMST02030173
DB12972	LMST02030175
DB12972	LMST02030185
DB13014	LMPK13040001
DB13038	LMGL03010250
DB13044	LMPR0103330002
DB13063	LMPR0103090002
DB13089	LMPR0106150011
DB13089	LMPR0106150014
DB13089	LMPR0106150026
DB13097	LMST03040004
DB13105	LMFA03070041
DB13105	LMFA03140003
DB13105	LMFA03140009
DB13132	LMPR0103190003
DB13153	LMPR0103060001
DB13169	LMST02010044
DB13171	LMGL01010005
DB13174	LMPK13040015
DB13179	LMPK04000042
DB13182	LMPK12050038
DB13280	LMFA01060003
DB13307	LMST01130008
DB13329	LMPR0103410006
DB13586	LMST02020013
DB13587	LMST02020107
DB13689	LMST03020256
DB13689	LMST03020257
DB13710	LMST02020028
DB13751	LMPR0106150013
DB13789	LMFA01010002
DB13800	LMFA01060006
DB13854	LMFA01030141
DB13910	LMFA01020291
DB13943	LMST02020074
DB13944	LMST02020075
DB13956	LMST02010039
DB13962	LMFA01170107
DB13962	LMFA01170108
DB13966	LMFA07010677
DB13983	LMPK12111429
DB13996	LMFA01010002
DB14008	LMPK12111159
DB14037	LMPR0106180009
DB14038	LMST01040122
DB14038	LMST01040129
DB14038	LMST01040250
DB14043	LMFA08040013
DB14073	LMFA01030085
DB14073	LMFA01030086
DB14077	LMFA01010018
DB14086	LMPK12020001
DB14086	LMPK12020003
DB14088	LMFA01030182
DB14088	LMFA04000064
DB14093	LMST02020002
DB14093	LMST02020051
DB14099	LMGP01010006
DB14104	LMFA01030120
DB14104	LMFA01030121
DB14104	LMFA01030122
DB14104	LMFA01030123
DB14104	LMFA02000352
DB14105	LMGP04010986
DB14119	LMSP01030001
DB14122	LMPK12120245
DB14149	LMFA01010018
DB14149	LMGL01010003
DB14152	LMPR0106080001
DB14156	LMPR0102120001
DB14183	LMPR0102010010
DB14183	LMPR0102010016
DB14219	LMFA07010962
DB14476	LMPR02020001
DB14489	LMFA01170043
DB14498	LMFA01010002
DB14508	LMFA01170043
DB14511	LMFA01010002
DB14514	LMFA01060006
DB14518	LMFA01010002
DB14539	LMST02030093
DB14541	LMST02030121
