drugbank_id	drugcentral_id
DB03206	5110
DB03209	2002
DB03225	2780
DB03247	2374
DB03252	1622
DB03255	4266
DB03256	1232
DB03256	4384
DB03266	3267
DB03310	5130
DB03312	397
DB03322	2303
DB03323	1535
DB03323	1628
DB03350	4472
DB03350	4625
DB03357	1629
DB03374	3146
DB03389	2854
DB03424	2787
DB03528	2818
DB03528	90
DB03550	3421
DB03567	4615
DB03574	4277
DB03575	2121
DB03585	2036
DB03604	3611
DB03615	3526
DB03619	4988
DB03651	4626
DB03700	4254
DB03740	4615
DB03754	2771
DB03756	4289
DB03783	2115
DB03793	4664
DB03808	3275
DB03825	4568
DB03839	2786
DB03843	3244
DB03852	4259
DB03856	990
DB03894	3521
DB03904	4264
DB03904	4323
DB03904	5147
DB03911	2854
DB03918	2612
DB03929	4127
DB03943	4126
DB03945	2155
DB03955	5110
DB03989	1271
DB03989	845
DB03995	2971
DB04005	3639
DB04027	1549
DB04084	4455
DB04106	1249
DB04145	1921
DB04156	4499
DB04165	2804
DB04167	46
DB04168	3689
DB04209	4376
DB04216	3514
DB04224	3400
DB04272	666
DB04282	4455
DB04286	2854
DB04293	1603
DB04299	3229
DB04304	3264
DB04335	3301
DB04339	4160
DB04342	1851
DB04349	4024
DB04377	1670
DB04398	1533
DB04408	4108
DB04414	4286
DB04444	4499
DB04445	4789
DB04452	174
DB04455	347
DB04465	1535
DB04465	1628
DB04483	4455
DB04485	4220
DB04519	3998
DB04522	4120
DB04552	1925
DB04564	5144
DB04571	2759
DB04572	2638
DB04573	3187
DB04574	4857
DB04575	2342
DB04576	1177
DB04599	221
DB04630	111
DB04650	373
DB04660	3906
DB04660	627
DB04665	738
DB04711	1455
DB04728	1589
DB04743	1935
DB04786	2966
DB04789	4621
DB04794	370
DB04813	3032
DB04814	3048
DB04815	681
DB04816	3125
DB04817	4659
DB04818	1480
DB04819	1738
DB04820	1907
DB04821	1958
DB04822	2018
DB04823	2038
DB04824	2135
DB04825	2261
DB04826	2617
DB04828	2871
DB04829	1621
DB04830	423
DB04831	2658
DB04832	2863
DB04833	1739
DB04834	3520
DB04835	1635
DB04836	161
DB04837	585
DB04838	747
DB04839	766
DB04840	788
DB04841	1200
DB04842	1222
DB04843	1689
DB04844	2609
DB04844	5226
DB04845	1517
DB04846	569
DB04854	1137
DB04855	4112
DB04856	1614
DB04856	834
DB04861	1887
DB04865	4677
DB04868	1932
DB04871	4374
DB04874	4472
DB04874	4568
DB04874	4625
DB04876	3642
DB04877	5100
DB04878	2845
DB04880	1014
DB04884	4381
DB04890	341
DB04896	1808
DB04896	4864
DB04898	2852
DB04908	5022
DB04911	4678
DB04912	4568
DB04920	674
DB04924	1512
DB04930	4152
DB04931	4836
DB04933	1044
DB04938	4749
DB04942	3580
DB04944	37
DB04946	3294
DB04947	3292
DB04948	1593
DB04951	4224
DB04953	4181
DB04957	274
DB04961	3635
DB04967	1616
DB04972	3062
DB04996	4211
DB04996	4472
DB04996	4568
DB04996	4625
DB05013	4226
DB05015	4876
DB05016	4872
DB05039	4183
DB05057	1041
DB05088	4260
DB05088	4286
DB05105	4690
DB05109	4633
DB05168	4831
DB05197	2456
DB05219	5201
DB05229	343
DB05239	5046
DB05246	1758
DB05265	981
DB05266	1406
DB05271	2407
DB05288	217
DB05289	1219
DB05289	5060
DB05294	4178
DB05295	5169
DB05296	4211
DB05316	5142
DB05340	2250
DB05351	1547
DB05351	4162
DB05381	1375
DB05382	4446
DB05389	4235
DB05428	4211
DB05442	3209
DB05461	4568
DB05476	4568
DB05521	4173
DB05541	5068
DB05607	3229
DB05642	4568
DB05659	5145
DB05667	1527
DB05676	4829
DB05786	1483
DB05790	4568
DB05791	2102
DB05792	4568
DB05804	4049
DB05837	4568
DB05956	4568
DB05966	666
DB05990	5155
