drugbank_id	fdasrs_id
DB00445	3Z8479ZZ5X
DB00445	80168379AG
DB00446	0Q3FUR6289
DB00446	66974FR9Q1
DB00446	FMO6OC31WV
DB00446	U0PWV2Z3IW
DB00447	3X11EVM5SU
DB00447	W72I5ZT78Z
DB00448	FB55O16184
DB00448	HS2S9VK3NH
DB00448	UYE4T5I70X
DB00449	2O368G2RZF
DB00449	6107X69460
DB00449	62O79NUO5M
DB00449	QNH5S91NRF
DB00450	O9U0F09D5X
DB00451	054I36CPMN
DB00451	0H00N2AHSP
DB00451	4W9K63FION
DB00451	66847MKV84
DB00451	7U4LEE5872
DB00451	916A14ZM1H
DB00451	9J765S329G
DB00451	B82379R9W0
DB00451	J60FX7V025
DB00451	Q51BO43MG4
DB00452	083GK97764
DB00452	31867650GG
DB00452	4BOC774388
DB00452	4W28N1YC5D
DB00452	6B1U1NS16Z
DB00452	88L7V8H11U
DB00452	HOO58QIW2C
DB00452	PA7Z9MHJ99
DB00452	VQ2E256S06
DB00452	X3ZPB60BS8
DB00452	Y3720KZ4TQ
DB00452	YF6OW6S539
DB00453	V4JNK46U1U
DB00453	YP0241BU76
DB00454	9E338QE28F
DB00454	N8E7F7Q170
DB00455	7AJO3BO7QN
DB00456	2QFS1UDW47
DB00456	C22G6EYP8B
DB00456	IW6KLJ5ANA
DB00456	R72LW146E6
DB00457	X0Z7454B90
DB00457	XM03YJ541D
DB00458	7GLU742D6Y
DB00458	BKE5Q1J60U
DB00458	MC34P30298
DB00458	OGG85SX4E4
DB00459	BK59Y5A02O
DB00459	LCH760E9T7
DB00461	LW0TIW155Z
DB00462	3IY7CNP8XJ
DB00462	952902IX06
DB00462	C684AL3ZG7
DB00462	K0813KQM3V
DB00462	KQ7PNA8VW2
DB00462	LTM112Q284
DB00462	R044N53C06
DB00462	RTN51LK7WL
DB00462	VDR09VTQ8U
DB00462	Z5W1X83FUI
DB00463	02OS7K758T
DB00464	18HB6B1L37
DB00464	LYR4M0NH37
DB00464	UR0T0B24E9
DB00465	10A5O25ILE
DB00465	5H3TJ0A81K
DB00465	E84R314D35
DB00465	W2RI2A81H9
DB00466	9K011NUF0R
DB00466	U06Z6QD7N2
DB00467	325OGW249P
DB00467	FK8O5WLR9H
DB00467	I9CD31N8WB
DB00468	4M9989F55E
DB00468	A7V27PHC7A
DB00468	ITX08688JL
DB00468	RN974X9U97
DB00469	Z1R9N0A399
DB00470	7J8897W37S
DB00470	7JN0PAV0CJ
DB00470	M67MK6J9X0
DB00471	H28ST60VMZ
DB00471	MHM278SD3E
DB00471	O71E8P3Y4C
DB00471	U1O3J18SFL
DB00472	6MYD4C025Q
DB00472	F279341RUQ
DB00473	17ZZX184UA
DB00473	2O0DP12TG4
DB00473	6HNK467GYP
DB00473	S3U4N30AA3
DB00475	6RZ6XEZ3CR
DB00475	MFM6K1XWDK
DB00475	YR3Y673BZG
DB00477	U42B7VYA4P
DB00479	84319SGC3C
DB00479	N6M33094FD
DB00480	0H2A3AM0SK
DB00480	0P1N1FSP2C
DB00480	82TY7L06PO
DB00481	4F86W47BR6
DB00481	YX9162EO3I
DB00482	JCX84Q7J1L
DB00483	09G4I6V86Q
DB00483	1526IW77GM
DB00483	4GC1FOQ22U
DB00483	4U541R2E6L
DB00483	505TLP46J6
DB00483	5TY3055J2U
DB00483	694C0EFT9Q
DB00483	98QPV8670C
DB00483	9BV8610D7E
DB00483	EK557FCO82
DB00483	N37KB761Z5
DB00483	Q3254X40X2
DB00483	QTO9S95T6L
DB00483	T98FI7Y8K4
DB00483	U6R26MK0LQ
DB00483	V1UJ6I93CL
DB00483	VYJ027LZ05
DB00484	4S9CL2DY2H
DB00484	E6GNX3HHTE
DB00485	4CKS6MOL6Z
DB00485	4HZT2V9KX0
DB00485	C2Y7S11EJA
DB00485	COF19H7WBK
DB00487	2H52Z9F2Q5
DB00487	5IAD0UV3FH
DB00487	CX28QC6FU0
DB00488	30FQ7QG6VM
DB00488	Q8BIH59O7H
DB00489	2328OK6Q6P
