chebi	drugbank
4464	DB13679
50095	DB13242
59173	DB00006
3213	DB00887
28507	DB03765
18280	DB02279
29034	DB13949
58359	DB00130
28162	DB03171
17858	DB03310
291342	DB00967
16469	DB00783
4562	DB00320
16892	DB02022
27958	DB00907
18099	DB03703
17052	DB04328
32003	DB11450
28502	DB00797
16301	DB12529
58448	DB00451
18026	DB01672
30753	DB02362
61203	DB00913
39723	DB02947
42383	DB03822
9241	DB00421
27754	DB01675
16523	DB03929
16796	DB01065
28262	DB01093
17439	DB00115
71404	DB04194
68575	DB05039
70708	DB09123
65415	DB12326
17044	DB02548
82717	DB14569
82752	DB09039
83438	DB07996
41753	DB01697
82715	DB07941
82980	DB00251
82985	DB03785
90844	DB11362
90908	DB09291
90936	DB11363
113556	DB11278
91991	DB09295
92056	DB11366
92118	DB03921
93403	DB12867
93430	DB07628
94459	DB14025
94514	DB09552
94607	DB13216
94621	DB13726
94666	DB13025
94691	DB05552
94692	DB06188
94759	DB12245
94760	DB07423
114195	DB13551
94782	DB04849
94787	DB13292
94810	DB01411
95060	DB12021
95067	DB13877
91327	DB11800
91348	DB07159
91514	DB12554
91518	DB08985
92278	DB13791
93635	DB01247
93749	DB11254
45002	DB08377
140592	DB06306
140628	DB12834
143527	DB12406
64945	DB02497
27860	DB01816
41480	DB02029
65346	DB08897
65209	DB11845
64733	DB09125
65173	DB04946
39955	DB07067
46171	DB04500
6427	DB00007
63617	DB01186
5292	DB02424
63214	DB13470
43029	DB04400
63589	DB06414
64558	DB13972
64356	DB00230
63619	DB01182
63607	DB00601
9678	DB03656
41500	DB06819
63629	DB00697
32168	DB00391
29320	DB01373
63577	DB00709
42588	DB05076
63611	DB00218
63581	DB00649
44245	DB13075
68610	DB08882
68609	DB04933
65484	DB06581
68634	DB14542
87824	DB03790
88220	DB07876
88249	DB07101
133545	DB02216
31575	DB13628
140173	DB14051
140174	DB14052
75460	DB02418
75557	DB11250
75953	DB04529
76004	DB08908
76128	DB09214
76162	DB08951
76200	DB09218
76223	DB00465
76277	DB11466
76306	DB11344
8198	DB11263
45441	DB02340
47617	DB03302
5778	DB00999
82864	DB13425
83517	DB13444
83804	DB01267
6839	DB00723
6900	DB01336
8909	DB13772
6965	DB01618
90369	DB13978
90528	DB07138
90531	DB12369
9640	DB08603
31477	DB13671
31485	DB06781
8065	DB01619
8077	DB00925
80774	DB08834
3209	DB04830
34187	DB01434
81296	DB13799
81304	DB13486
34373	DB06554
34474	DB09378
34521	DB09347
34571	DB14176
34823	DB13806
81395	DB12385
81494	DB11552
34893	DB13487
4037	DB13240
82125	DB11456
4537	DB11511
4601	DB14638
47628	DB02550
5008	DB05252
6005	DB00221
6444	DB00854
8694	DB01589
88542	DB14084
8862	DB11738
88667	DB09496
132986	DB12183
43602	DB05990
137064	DB11911
134719	DB09050
119573	DB00705
204928	DB00493
21363	DB03790
25682	DB02302
261649	DB01294
29042	DB02843
31623	DB00591
33118	DB11326
33404	DB03688
3485	DB00535
35702	DB13598
35986	DB03143
39867	DB00313
40205	DB03177
40303	DB00227
4046	DB00434
40673	DB03915
40933	DB01889
41034	DB02743
41059	DB07457
41070	DB04640
41241	DB07506
41487	DB04049
41879	DB01234
41977	DB00694
42098	DB03671
42111	DB03066
42121	DB04517
42429	DB03270
42491	DB07776
42699	DB02348
42758	DB01914
43065	DB02494
43197	DB07930
43405	DB02114
43896	DB02900
43955	DB03300
43991	DB02649
44115	DB03434
44177	DB04337
44185	DB00563
44241	DB01011
44400	DB04212
44423	DB01005
44434	DB04409
44454	DB03867
44460	DB08262
44485	DB02967
44747	DB08327
45564	DB04781
45616	DB04784
45895	DB03900
45979	DB00730
46077	DB03594
46261	DB03694
48723	DB05137
49512	DB01925
49659	DB04445
49706	DB03138
49727	DB02176
50169	DB11859
50663	DB00558
50885	DB00687
52360	DB03690
584020	DB00247
609827	DB01833
63598	DB01137
6432	DB00848
6710	DB00939
68352	DB12665
6916	DB00379
74046	DB07052
74562	DB04165
27090	DB13304
27407	DB11336
34727	DB02852
40131	DB04051
40547	DB04620
41094	DB04638
41268	DB04094
43996	DB12967
6843	DB01028
77572	DB07615
77590	DB06413
77796	DB01405
78734	DB00572
78739	DB11403
79033	DB09148
9200	DB02859
9448	DB00857
9620	DB00525
5195	DB00614
86284	DB04482
86992	DB08544
87065	DB11183
87202	DB11182
66309	DB15495
70824	DB07069
71975	DB05626
72317	DB08875
73058	DB14037
73167	DB14062
116962	DB14207
34849	DB11429
44107	DB03895
45453	DB01910
41656	DB07594
81724	DB03608
82647	DB11541
85433	DB02446
47414	DB07775
86235	DB13698
32016	DB04951
85241	DB06801
85260	DB06145
134709	DB11642
134710	DB05659
134720	DB09262
134746	DB13713
134768	DB09249
134776	DB13807
134814	DB13655
134826	DB01527
134865	DB13341
134868	DB09252
134871	DB13211
134884	DB01353
134893	DB13064
134898	DB13438
134902	DB13804
134916	DB13754
134965	DB13222
134972	DB13228
134978	DB09246
134988	DB09247
134990	DB06594
135025	DB13289
135029	DB14763
135042	DB13659
135044	DB09306
135047	DB11160
135058	DB13611
135076	DB09304
135082	DB13530
135097	DB01534
135159	DB13439
135169	DB13505
135180	DB13724
135224	DB13114
135227	DB09016
135233	DB08996
135256	DB13782
135288	DB09007
135349	DB01252
135354	DB13681
